"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"12704",87,121,0,"A_25_P00015877","hsa-miR-4324",-2.03712952765211,6.25181964523761,-8.53259887499734,6.6167374298616e-08,0.00203949596416091,8.21584187803587
"47828",328,141,0,"A_25_P00015877","hsa-miR-4324",-2.12739358648818,6.26629554986582,-8.47917203865415,7.27819557547966e-08,0.00203949596416091,8.13091575535191
"22044",151,111,0,"A_25_P00015877","hsa-miR-4324",-1.9493154849407,6.32525759213552,-7.94070998434773,1.94099801819672e-07,0.00249697779469317,7.25053577809689
"16667",114,161,0,"A_25_P00015877","hsa-miR-4324",-1.9705906261041,6.26941139913704,-7.82340254355818,2.41559921980508e-07,0.00249697779469317,7.05277001407411
"31591",216,145,0,"A_25_P00015877","hsa-miR-4324",-1.96982837774462,6.30129178543339,-7.58948914807808,3.75693444196739e-07,0.00249697779469317,6.65197552460017
"45354",311,140,0,"A_25_P00015877","hsa-miR-4324",-2.1024285651241,6.19114127370239,-7.58526304689684,3.78728751846067e-07,0.00249697779469317,6.64465519362285
"37609",258,57,0,"A_25_P00015519","hsa-miR-4328",-1.00608448659279,5.68945312947466,-7.41716398218002,5.2261190948654e-07,0.00249697779469317,6.35119379000581
"40567",278,123,0,"A_25_P00012274","hsa-miR-29c-3p",-2.76728746765385,9.88137456763497,-7.15281065490807,8.73896211355618e-07,0.00249697779469317,5.88066907281357
"32330",221,158,0,"A_25_P00013174","hsa-miR-21-3p",1.94611291092883,7.6234158790887,7.13168638003607,9.10917770655036e-07,0.00249697779469317,5.8425938395739
"55399",380,106,0,"A_25_P00012274","hsa-miR-29c-3p",-2.73059843616018,9.80179158236281,-7.12790627218646,9.17712039948176e-07,0.00249697779469317,5.83577300110773
"34530",237,32,0,"A_25_P00015877","hsa-miR-4324",-1.9536611431653,6.22250394426716,-7.07559098945173,1.017317915876e-06,0.00249697779469317,5.74114389918816
"29534",202,109,0,"A_25_P00012074","hsa-miR-139-3p",-1.38536303409199,6.46155757086448,-7.07497848599456,1.01854818334448e-06,0.00249697779469317,5.7400334352036
"5355",37,50,0,"A_25_P00015877","hsa-miR-4324",-1.87043383257068,6.21196841657829,-7.05217023107997,1.06547396549693e-06,0.00249697779469317,5.69864019584256
"26779",183,145,0,"A_25_P00012139","hsa-miR-200b-3p",5.81438622528379,9.66090186787584,7.01705796756254,1.14213194137134e-06,0.00249697779469317,5.63475718497712
"29609",203,27,0,"A_25_P00012074","hsa-miR-139-3p",-1.37284902201966,6.50881658856102,-6.95487106999394,1.29221218889479e-06,0.00249697779469317,5.5211392368072
"23020",158,43,0,"A_25_P00012274","hsa-miR-29c-3p",-2.73363582548274,9.99854457379965,-6.87516763531852,1.51490757731694e-06,0.00249697779469317,5.37463083863213
"3107",21,138,0,"A_25_P00010980","hsa-miR-125b-5p",-3.76336653982896,10.1316527498814,-6.86703008072019,1.5397747727736e-06,0.00249697779469317,5.35961667807828
"47791",328,97,0,"A_25_P00012275","hsa-miR-29c-3p",-2.74310821755238,10.0842990483247,-6.82473298793072,1.67599772772667e-06,0.00249697779469317,5.28140992516296
"45532",313,19,0,"A_25_P00013174","hsa-miR-21-3p",1.92218983361941,7.68159172238522,6.81715550309311,1.70168858953825e-06,0.00249697779469317,5.26736975614076
"50495",347,56,0,"A_25_P00012275","hsa-miR-29c-3p",-2.74079251991406,10.0191498082704,-6.8169901359269,1.70225376985557e-06,0.00249697779469317,5.2670632507787
"17714",122,13,0,"A_25_P00012038","hsa-miR-101-3p",-2.44622970220473,7.02831837375874,-6.81413816162084,1.71203162896232e-06,0.00249697779469317,5.261776491542
"55114",378,122,0,"A_25_P00015878","hsa-miR-4324",-3.12364452494521,8.14797342438315,-6.81071221684478,1.72385410324376e-06,0.00249697779469317,5.25542407518687
"54133",372,24,0,"A_25_P00012038","hsa-miR-101-3p",-2.49819475187756,6.95636371871096,-6.80606634525142,1.74002130745133e-06,0.00249697779469317,5.24680673639949
"49883",343,30,0,"A_25_P00012275","hsa-miR-29c-3p",-2.68495149588298,9.9632040624846,-6.79803094407537,1.76835463006359e-06,0.00249697779469317,5.23189442764655
"48686",334,128,0,"A_25_P00013174","hsa-miR-21-3p",1.89317945547925,7.63246049077974,6.77716757995223,1.84416781330377e-06,0.00249697779469317,5.19312868431763
"5138",35,128,0,"A_25_P00012038","hsa-miR-101-3p",-2.45491753639049,7.06754634538988,-6.77232766355857,1.86223013086364e-06,0.00249697779469317,5.18412606144357
"43178",296,110,0,"A_25_P00012274","hsa-miR-29c-3p",-2.74243101200425,9.91770154650945,-6.76873926244329,1.87573978498234e-06,0.00249697779469317,5.17744900174703
"37093",254,147,0,"A_25_P00012274","hsa-miR-29c-3p",-2.71414875071547,9.78312972052408,-6.76669602797527,1.8834773810602e-06,0.00249697779469317,5.17364619097231
"27567",189,43,0,"A_25_P00012275","hsa-miR-29c-3p",-2.7903626909249,10.143591982047,-6.76162687769679,1.90281664464349e-06,0.00249697779469317,5.16420882647066
"47031",323,72,0,"A_25_P00012275","hsa-miR-29c-3p",-2.75961934377774,10.0780214435081,-6.73290356456332,2.01634113860105e-06,0.00249697779469317,5.11065847751277
"38667",265,110,0,"A_25_P00012275","hsa-miR-29c-3p",-2.75822391877453,10.129878099915,-6.70073469664389,2.15182633451e-06,0.00249697779469317,5.05053237115744
"2963",20,138,0,"A_25_P00012333","hsa-miR-378_v17.0",1.47395798296981,7.40440487989022,6.68169102700307,2.23643032241238e-06,0.00249697779469317,5.01486271002429
"49764",342,56,0,"A_25_P00012275","hsa-miR-29c-3p",-2.66167397274427,10.0068028108922,-6.67264432220723,2.27781786465805e-06,0.00249697779469317,4.99789815543292
"16992",117,32,0,"A_25_P00012275","hsa-miR-29c-3p",-2.69696874598155,9.97760041995315,-6.66963997254171,2.29173667327393e-06,0.00249697779469317,4.99226154163233
"49049",337,64,0,"A_25_P00012274","hsa-miR-29c-3p",-2.67763762674834,9.90699822119453,-6.65197785098211,2.37535831066321e-06,0.00249697779469317,4.95909652839129
"25707",176,114,0,"A_25_P00013174","hsa-miR-21-3p",1.96571902482697,7.70686695797121,6.64193399146416,2.42431020938397e-06,0.00249697779469317,4.94021520430888
"1986",14,31,0,"A_25_P00015877","hsa-miR-4324",-1.88452718000838,6.13184822046,-6.62133050177605,2.52801471676442e-06,0.00249697779469317,4.90143426581475
"50229",345,87,0,"A_25_P00012274","hsa-miR-29c-3p",-2.68967292205848,9.91160364338693,-6.61973521410712,2.53623301579819e-06,0.00249697779469317,4.89842880500408
"14398",99,67,0,"A_25_P00012275","hsa-miR-29c-3p",-2.75585855958436,10.150755270578,-6.61176196396443,2.57772343504166e-06,0.00249697779469317,4.88340163263456
"30934",212,56,0,"A_25_P00012647","hsa-miR-502-3p",-1.23535887107854,6.06054647173594,-6.6113783356254,2.57973730185871e-06,0.00249697779469317,4.88267836208528
"53072",364,147,0,"A_25_P00013174","hsa-miR-21-3p",1.85436988588694,7.59511453012174,6.60950103865675,2.58961566611487e-06,0.00249697779469317,4.87913868894503
"33434",229,107,0,"A_25_P00012274","hsa-miR-29c-3p",-2.65321601844138,9.98411721886854,-6.60918269006156,2.59129468935488e-06,0.00249697779469317,4.87853838383916
"9296",64,30,0,"A_25_P00012275","hsa-miR-29c-3p",-2.63279206846929,9.94550048872765,-6.60710366523621,2.60228747906844e-06,0.00249697779469317,4.87461761480361
"48254",331,132,0,"A_25_P00012274","hsa-miR-29c-3p",-2.66078279157205,9.76434347013646,-6.59952393799814,2.64277443368579e-06,0.00249697779469317,4.86031760806053
"30",1,32,0,"A_25_P00012139","hsa-miR-200b-3p",5.51626297207277,9.58524663952721,6.57633641069196,2.77071501854177e-06,0.00249697779469317,4.81651689886444
"49305",339,25,0,"A_25_P00012382","hsa-miR-135b-5p",2.93052320008132,7.72044077190758,6.5692276551829,2.81120593615711e-06,0.00249697779469317,4.80307208546128
